0,HeartTeleport,320,304,,,,,,
0,SET,Loop,12,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.1,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,164,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,14,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,14,,,,,,,
0,JMPREL,21,,,,,,,
0,JMPREL,28,,,,,,,
0,JMPREL,33,,,,,,,
0,JMPREL,38,,,,,,,
0,JMPREL,46,,,,,,,
0,JMPREL,54,,,,,,,
0,JMPREL,58,,,,,,,
0,JMPREL,62,,,,,,,
0,JMPREL,67,,,,,,,
0,JMPREL,72,,,,,,,
0,JMPREL,79,,,,,,,
0,JMPREL,88,,,,,,,
0,JMPREL,95,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.56666,0.2
0,GasterBlaster,1,321,166,321,166,90,0.56666,0.2
0,GasterBlaster,1,449,306,449,306,180,0.56666,0.2
0,GasterBlaster,1,321,446,321,446,270,0.56666,0.2
1.1,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.6,0.2
0,GasterBlaster,1,451,176,451,176,135,0.6,0.2
0,GasterBlaster,1,451,436,451,436,225,0.6,0.2
0,GasterBlaster,1,191,436,191,436,315,0.6,0.2
1.1,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,489,376,,,,,,
0,HeartMode,1,,,,,,,
0,BoneVRepeat,345,364,20,0,180,24,56,
0,BoneVRepeat,297,280,82,2,180,24,56,
1.6,JMPABS,3,,,,,,,
