0,HeartTeleport,320,304,,,,,,
0,SET,Loop,8,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.2,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,76,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,8,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,8,,,,,,,
0,JMPREL,15,,,,,,,
0,JMPREL,22,,,,,,,
0,JMPREL,27,,,,,,,
0,JMPREL,32,,,,,,,
0,JMPREL,40,,,,,,,
0,JMPREL,48,,,,,,,
0,JMPREL,52,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.6,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.6,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.6,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.6,0.26666
1.1,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.63333,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.63333,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.63333,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.63333,0.26666
1.1,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,489,376,,,,,,
0,HeartMode,1,,,,,,,
0,BoneVRepeat,345,364,20,0,180,24,56,
0,BoneVRepeat,297,280,82,2,180,24,56,
1.6,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,168,376,,,,,,
0,HeartMode,1,,,,,,,
0,BoneVRepeat,297,364,20,2,180,24,56,
0,BoneVRepeat,345,280,82,0,180,24,56,
1.9,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,330,304,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,314,314,32,0,0,,,
0,Platform,314,354,32,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,581,280,35,2,300,3,15,
0,BoneVRepeat,-59,319,65,0,300,3,15,
1.5,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,330,304,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,314,314,32,0,0,,,
0,Platform,314,354,32,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,59,280,35,0,300,3,-15,
0,BoneVRepeat,699,319,65,2,300,3,-15,
1.5,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartTeleport,382,304,,,,,,
0,HeartMode,0,,,,,,,
0.2,SineBones,35,-30,880,55,,,,
1.5,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,239,226,464,391,,,,
0,HeartTeleport,267,304,,,,,,
0,HeartMode,0,,,,,,,
0.2,SineBones,35,30,880,55,,,,
1.5,JMPABS,3,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
