0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,18,,,
0,JMPZ,33,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Height,4,,,
0,ADD,Jump,$Height,1,,
0.26666,SansSlam,1,,,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,7,,,,
0,JMPREL,10,,,,
0,JMPREL,13,,,,
0,SansBody,HandDown,,,,
0,BoneStab,1,25,0.4,0,
0,BoneStab,3,111,0.4,0,
0.1,JMPREL,13,,,,
0,SansBody,HandDown,,,,
0,BoneStab,1,35,0.4,0,
0,BoneStab,3,101,0.4,0,
0.15,JMPREL,9,,,,
0,SansBody,HandDown,,,,
0,BoneStab,1,45,0.4,0,
0,BoneStab,3,91,0.4,0,
0.2,JMPREL,5,,,,
0,SansBody,HandDown,,,,
0,BoneStab,1,60,0.55,0,
0,BoneStab,3,76,0.55,0,
0.35,JMPREL,1,,,,
0.26666,JMPABS,6,,,,
0,EndAttack,,,,,
